ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2019-05-01-lords.u1	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Barker, Elizabeth	F	-
ParlaMint-GB_2019-05-01-lords.u2	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Barker, Elizabeth	F	-
ParlaMint-GB_2019-05-01-lords.u3	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u4	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Barker, Elizabeth	F	-
ParlaMint-GB_2019-05-01-lords.u5	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u6	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Collins, Raymond	M	-
ParlaMint-GB_2019-05-01-lords.u7	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u8	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Anderson, Donald	M	-
ParlaMint-GB_2019-05-01-lords.u9	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u10	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	UUP	Ulster Unionist Party	Opposition	Rogan, Dennis Robert David	M	-
ParlaMint-GB_2019-05-01-lords.u11	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u12	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	NA	Non-affiliated	Opposition	Steel, David	M	-
ParlaMint-GB_2019-05-01-lords.u13	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u14	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CB	Crossbench	Opposition	Anderson, John	M	-
ParlaMint-GB_2019-05-01-lords.u15	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u16	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Judd, Frank Ashcroft	M	-
ParlaMint-GB_2019-05-01-lords.u17	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u18	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Kramer, Susan	F	-
ParlaMint-GB_2019-05-01-lords.u19	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	CON	Conservative	Opposition	Ahmad, Tariq	M	-
ParlaMint-GB_2019-05-01-lords.u20	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Bradley, Keith John Charles	M	-
ParlaMint-GB_2019-05-01-lords.u21	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Thornton, Dorothea Glenys	F	-
ParlaMint-GB_2019-05-01-lords.u22	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	notMP	CON	Conservative	Opposition	Blackwood, Nicola	F	-
ParlaMint-GB_2019-05-01-lords.u23	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	MP	LAB	Labour	Opposition	Thornton, Dorothea Glenys	F	-
ParlaMint-GB_2019-05-01-lords.u24	Minutes of the House of Lords, Daily Session 2019-05-01	2019-05-01	2019-05-01	Upper house	57					Reference	Regular	notMP	CON	Conservative	Opposition	Blackwood, Nicola	F	-
