ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2019-07-02-commons.u1	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Abrahams, Deborah Angela Elspeth Marie	F	-
ParlaMint-GB_2019-07-02-commons.u2	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u3	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Abrahams, Deborah Angela Elspeth Marie	F	-
ParlaMint-GB_2019-07-02-commons.u4	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u5	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hollobone, Philip Thomas	M	-
ParlaMint-GB_2019-07-02-commons.u6	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u7	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	McGovern, Alison	F	-
ParlaMint-GB_2019-07-02-commons.u8	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u9	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Blackman, Kirsty Ann	F	-
ParlaMint-GB_2019-07-02-commons.u10	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u11	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Blackman, Kirsty Ann	F	-
ParlaMint-GB_2019-07-02-commons.u12	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u13	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	IGC;LJ95	The Independent Group for Change;Change UK - The Independent Group	Opposition	Leslie, Christopher Michael	M	-
ParlaMint-GB_2019-07-02-commons.u14	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u15	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Brown, Lyn Carol	F	-
ParlaMint-GB_2019-07-02-commons.u16	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Truss, Elizabeth Mary	F	-
ParlaMint-GB_2019-07-02-commons.u17	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Grady, Patrick John	M	-
ParlaMint-GB_2019-07-02-commons.u18	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hammond, Philip	M	-
ParlaMint-GB_2019-07-02-commons.u19	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Grady, Patrick John	M	-
ParlaMint-GB_2019-07-02-commons.u20	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hammond, Philip	M	-
ParlaMint-GB_2019-07-02-commons.u21	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Morgan, Nicky	F	-
ParlaMint-GB_2019-07-02-commons.u22	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hammond, Philip	M	-
ParlaMint-GB_2019-07-02-commons.u23	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Newlands, Gavin Andrew Stuart	M	-
ParlaMint-GB_2019-07-02-commons.u24	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hammond, Philip	M	-
ParlaMint-GB_2019-07-02-commons.u25	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Philp, Chris Ian Brian Mynott	M	-
ParlaMint-GB_2019-07-02-commons.u26	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Hammond, Philip	M	-
ParlaMint-GB_2019-07-02-commons.u27	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Gill, Preet Kaur	F	-
ParlaMint-GB_2019-07-02-commons.u28	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	McKinnell, Catherine	F	-
ParlaMint-GB_2019-07-02-commons.u29	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u30	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Gill, Preet Kaur	F	-
ParlaMint-GB_2019-07-02-commons.u31	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u32	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	McKinnell, Catherine	F	-
ParlaMint-GB_2019-07-02-commons.u33	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u34	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Thomas, Derek Gordon	M	-
ParlaMint-GB_2019-07-02-commons.u35	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u36	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Wood, Michael Jon	M	-
ParlaMint-GB_2019-07-02-commons.u37	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u38	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	DUP	Democratic Unionist Party		Campbell, Gregory Lloyd	M	-
ParlaMint-GB_2019-07-02-commons.u39	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u40	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Dodds, Anneliese Jane	F	-
ParlaMint-GB_2019-07-02-commons.u41	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u42	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Reeves, Rachel Jane	F	-
ParlaMint-GB_2019-07-02-commons.u43	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u44	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Reeves, Rachel Jane	F	-
ParlaMint-GB_2019-07-02-commons.u45	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u46	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Harrison, Trudy Lynne	F	-
ParlaMint-GB_2019-07-02-commons.u47	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u48	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Jarvis, Daniel Owen	M	-
ParlaMint-GB_2019-07-02-commons.u49	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u50	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Vickers, Martin John	M	-
ParlaMint-GB_2019-07-02-commons.u51	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u52	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Dowd, Peter Christopher	M	-
ParlaMint-GB_2019-07-02-commons.u53	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u54	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Dowd, Peter Christopher	M	-
ParlaMint-GB_2019-07-02-commons.u55	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Jenrick, Robert Edward	M	-
ParlaMint-GB_2019-07-02-commons.u56	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Heald, Oliver	M	-
ParlaMint-GB_2019-07-02-commons.u57	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Stone, Jamie Hume	M	-
ParlaMint-GB_2019-07-02-commons.u58	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u59	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Heald, Oliver	M	-
ParlaMint-GB_2019-07-02-commons.u60	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u61	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Stone, Jamie Hume	M	-
ParlaMint-GB_2019-07-02-commons.u62	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u63	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Greening, Justine	F	-
ParlaMint-GB_2019-07-02-commons.u64	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u65	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Norris, Alexander James Jorden	M	-
ParlaMint-GB_2019-07-02-commons.u66	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u67	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Davis, David Michael	M	-
ParlaMint-GB_2019-07-02-commons.u68	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u69	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	Dakin, Nicholas	M	-
ParlaMint-GB_2019-07-02-commons.u70	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u71	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Baron, John Charles	M	-
ParlaMint-GB_2019-07-02-commons.u72	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u73	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Baron, John Charles	M	-
ParlaMint-GB_2019-07-02-commons.u74	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u75	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	SNP	Scottish National Party	Opposition	Day, Martyn	M	-
ParlaMint-GB_2019-07-02-commons.u76	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	CON	Conservative	Opposition	Norman, Alexander Jesse	M	-
ParlaMint-GB_2019-07-02-commons.u77	Minutes of the House of Commons, Daily Session 2019-07-02	2019-07-02	2019-07-02	Lower house	57					Reference	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
