ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-11-24-lords.u1	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Royall, Janet Anne	F	-
ParlaMint-GB_2015-11-24-lords.u2	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Nye, Susan Jane	F	-
ParlaMint-GB_2015-11-24-lords.u3	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u4	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Nye, Susan Jane	F	-
ParlaMint-GB_2015-11-24-lords.u5	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u6	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	PC	Plaid Cymru	Opposition	Wigley, Dafydd Wynne	M	-
ParlaMint-GB_2015-11-24-lords.u7	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u8	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Howarth, Valerie	F	-
ParlaMint-GB_2015-11-24-lords.u9	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u10	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Brinton, Sarah Virginia	F	-
ParlaMint-GB_2015-11-24-lords.u11	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u12	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Rosser, Richard Andrew	M	-
ParlaMint-GB_2015-11-24-lords.u13	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u14	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Afshar, Haleh	F	-
ParlaMint-GB_2015-11-24-lords.u15	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Bates, Michael	M	-
ParlaMint-GB_2015-11-24-lords.u16	Minutes of the House of Lords, Daily Session 2015-11-24	2015-11-24	2015-11-24	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Aline, Margot	F	-
