ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-01-26-lords.u1	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LAB	Labour	Opposition	Jones, Margaret Beryl	F	-
ParlaMint-GB_2015-01-26-lords.u2	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u3	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LAB	Labour	Opposition	Jones, Margaret Beryl	F	-
ParlaMint-GB_2015-01-26-lords.u4	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u5	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LD	Liberal Democrat	Coalition	Brinton, Sarah Virginia	F	-
ParlaMint-GB_2015-01-26-lords.u6	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u7	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LAB	Labour	Opposition	Massey, Doreen Elizabeth	F	-
ParlaMint-GB_2015-01-26-lords.u8	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u9	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Morris, Michael	M	-
ParlaMint-GB_2015-01-26-lords.u10	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u11	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Eaton, Ellen	F	-
ParlaMint-GB_2015-01-26-lords.u12	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u13	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LAB	Labour	Opposition	Farrington, Josephine	F	-
ParlaMint-GB_2015-01-26-lords.u14	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Nash, John	M	-
ParlaMint-GB_2015-01-26-lords.u15	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	CON	Conservative	Coalition	Trefgarne, David	M	-
ParlaMint-GB_2015-01-26-lords.u16	Minutes of the House of Lords, Daily Session 2015-01-26	2015-01-26	2015-01-26	Upper house	55					Reference	Regular	MP	LD	Liberal Democrat	Coalition	Jolly, Judith Anne	F	-
