ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-12-02-lords.u1	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Goddard, David	M	-
ParlaMint-GB_2015-12-02-lords.u2	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u3	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Goddard, David	M	-
ParlaMint-GB_2015-12-02-lords.u4	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u5	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Spicer, William	M	-
ParlaMint-GB_2015-12-02-lords.u6	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u7	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Whitaker, Janet Alison	F	-
ParlaMint-GB_2015-12-02-lords.u8	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u9	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Holmes, Christopher	M	-
ParlaMint-GB_2015-12-02-lords.u10	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u11	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	West, Alan William John	M	-
ParlaMint-GB_2015-12-02-lords.u12	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u13	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Bakewell, Catherine	F	-
ParlaMint-GB_2015-12-02-lords.u14	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u15	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Hamilton, Archibald Gavin	M	-
ParlaMint-GB_2015-12-02-lords.u16	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u17	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Kennedy, Roy Francis	M	-
ParlaMint-GB_2015-12-02-lords.u18	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Williams, Susan	F	-
ParlaMint-GB_2015-12-02-lords.u19	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2015-12-02-lords.u20	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u21	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	McConnell, Jack Wilson	M	-
ParlaMint-GB_2015-12-02-lords.u22	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u23	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Jolliffe, Raymond	M	-
ParlaMint-GB_2015-12-02-lords.u24	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u25	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Lansley, Andrew	M	-
ParlaMint-GB_2015-12-02-lords.u26	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u27	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CB	Crossbench	Opposition	Coussins, Jean	F	-
ParlaMint-GB_2015-12-02-lords.u28	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u29	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Kinnock, Glenys Elizabeth	F	-
ParlaMint-GB_2015-12-02-lords.u30	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
ParlaMint-GB_2015-12-02-lords.u31	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LAB	Labour	Opposition	Collins, Raymond	M	-
ParlaMint-GB_2015-12-02-lords.u32	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	LD	Liberal Democrat	Opposition	Oates, Jonathan	M	-
ParlaMint-GB_2015-12-02-lords.u33	Minutes of the House of Lords, Daily Session 2015-12-02	2015-12-02	2015-12-02	Upper house	56					Reference	Regular	MP	CON	Conservative	Opposition	Verma, Sandip	F	-
