ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2015-03-10-commons.u1	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Cooper, Rosemary Elizabeth	F	-
ParlaMint-GB_2015-03-10-commons.u2	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Glindon, Mary Theresa	F	-
ParlaMint-GB_2015-03-10-commons.u3	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u4	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Cooper, Rosemary Elizabeth	F	-
ParlaMint-GB_2015-03-10-commons.u5	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u6	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Glindon, Mary Theresa	F	-
ParlaMint-GB_2015-03-10-commons.u7	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u8	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Bridgen, Andrew James	M	-
ParlaMint-GB_2015-03-10-commons.u9	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u10	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Blomfield, Paul Christopher	M	-
ParlaMint-GB_2015-03-10-commons.u11	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u12	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	DUP	Democratic Unionist Party	Opposition	Wilson, Samuel	M	-
ParlaMint-GB_2015-03-10-commons.u13	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u14	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Mahmood, Shabana	F	-
ParlaMint-GB_2015-03-10-commons.u15	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u16	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Mahmood, Shabana	F	-
ParlaMint-GB_2015-03-10-commons.u17	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Gauke, David Michael	M	-
ParlaMint-GB_2015-03-10-commons.u18	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Morden, Jessica Elizabeth	F	-
ParlaMint-GB_2015-03-10-commons.u19	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	CON	Conservative	Coalition	Leadsom, Andrea Jacqueline	F	-
ParlaMint-GB_2015-03-10-commons.u20	Minutes of the House of Commons, Daily Session 2015-03-10	2015-03-10	2015-03-10	Lower house	55					Reference	Regular	MP	LAB	Labour	Opposition	Morden, Jessica Elizabeth	F	-
