ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2020-10-16-commons.u1	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Evans, Luke Morgan	M	-
ParlaMint-GB_2020-10-16-commons.u2	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Chairperson	MP	LAB	Labour	Opposition	Hoyle, Lindsay Harvey	M	-
ParlaMint-GB_2020-10-16-commons.u3	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Wood, Michael Jon	M	-
ParlaMint-GB_2020-10-16-commons.u4	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Trott, Laura	F	-
ParlaMint-GB_2020-10-16-commons.u5	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Evans, Luke Morgan	M	-
ParlaMint-GB_2020-10-16-commons.u6	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Trott, Laura	F	-
ParlaMint-GB_2020-10-16-commons.u7	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Cartlidge, James Roger	M	-
ParlaMint-GB_2020-10-16-commons.u8	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Trott, Laura	F	-
ParlaMint-GB_2020-10-16-commons.u9	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Chairperson	MP	LAB	Labour	Opposition	Hoyle, Lindsay Harvey	M	-
ParlaMint-GB_2020-10-16-commons.u10	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Cartlidge, James Roger	M	-
ParlaMint-GB_2020-10-16-commons.u11	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Chairperson	MP	LAB	Labour	Opposition	Hoyle, Lindsay Harvey	M	-
ParlaMint-GB_2020-10-16-commons.u12	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Cartlidge, James Roger	M	-
ParlaMint-GB_2020-10-16-commons.u13	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Mangnall, Anthony James Holland	M	-
ParlaMint-GB_2020-10-16-commons.u14	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Cartlidge, James Roger	M	-
ParlaMint-GB_2020-10-16-commons.u15	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Baker, Duncan Charles	M	-
ParlaMint-GB_2020-10-16-commons.u16	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Cartlidge, James Roger	M	-
ParlaMint-GB_2020-10-16-commons.u17	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stevenson, Jane Fiona Catherine	F	-
ParlaMint-GB_2020-10-16-commons.u18	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Evans, Luke Morgan	M	-
ParlaMint-GB_2020-10-16-commons.u19	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stevenson, Jane Fiona Catherine	F	-
ParlaMint-GB_2020-10-16-commons.u20	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Mangnall, Anthony James Holland	M	-
ParlaMint-GB_2020-10-16-commons.u21	Minutes of the House of Commons, Daily Session 2020-10-16	2020-10-16	2020-10-16	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stevenson, Jane Fiona Catherine	F	-
