ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-GB_2020-10-23-commons.u1	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Lamont, John Robert	M	-
ParlaMint-GB_2020-10-23-commons.u2	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u3	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Tami, Mark Richard	M	-
ParlaMint-GB_2020-10-23-commons.u4	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u5	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Wood, Michael Jon	M	-
ParlaMint-GB_2020-10-23-commons.u6	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u7	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Spellar, John Francis	M	-
ParlaMint-GB_2020-10-23-commons.u8	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u9	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Wheeler, Heather Kay	F	-
ParlaMint-GB_2020-10-23-commons.u10	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u11	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Carter, Andrew John	M	-
ParlaMint-GB_2020-10-23-commons.u12	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u13	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u14	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u15	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Carter, Andrew John	M	-
ParlaMint-GB_2020-10-23-commons.u16	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u17	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Charalambous, Charalambos	M	-
ParlaMint-GB_2020-10-23-commons.u18	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u19	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Spellar, John Francis	M	-
ParlaMint-GB_2020-10-23-commons.u20	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u21	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Gideon, Joanna Mary	F	-
ParlaMint-GB_2020-10-23-commons.u22	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u23	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u24	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Young, Jacob	M	-
ParlaMint-GB_2020-10-23-commons.u25	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u26	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Young, Jacob	M	-
ParlaMint-GB_2020-10-23-commons.u27	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u28	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u29	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u30	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Spellar, John Francis	M	-
ParlaMint-GB_2020-10-23-commons.u31	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u32	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Gideon, Joanna Mary	F	-
ParlaMint-GB_2020-10-23-commons.u33	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u34	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u35	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u36	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u37	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u38	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Moore, Robert Peter	M	-
ParlaMint-GB_2020-10-23-commons.u39	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	McCarthy, Kerry Gillian	F	-
ParlaMint-GB_2020-10-23-commons.u40	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Parish, Neil Quentin Gordon	M	-
ParlaMint-GB_2020-10-23-commons.u41	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u42	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Parish, Neil Quentin Gordon	M	-
ParlaMint-GB_2020-10-23-commons.u43	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Tami, Mark Richard	M	-
ParlaMint-GB_2020-10-23-commons.u44	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Parish, Neil Quentin Gordon	M	-
ParlaMint-GB_2020-10-23-commons.u45	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Tami, Mark Richard	M	-
ParlaMint-GB_2020-10-23-commons.u46	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Parish, Neil Quentin Gordon	M	-
ParlaMint-GB_2020-10-23-commons.u47	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Young, Jacob	M	-
ParlaMint-GB_2020-10-23-commons.u48	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Parish, Neil Quentin Gordon	M	-
ParlaMint-GB_2020-10-23-commons.u49	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u50	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u51	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u52	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Tami, Mark Richard	M	-
ParlaMint-GB_2020-10-23-commons.u53	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u54	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Clarkson, Christopher Mark	M	-
ParlaMint-GB_2020-10-23-commons.u55	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u56	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Clarkson, Christopher Mark	M	-
ParlaMint-GB_2020-10-23-commons.u57	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u58	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stewart, Robert Alexander	M	-
ParlaMint-GB_2020-10-23-commons.u59	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Chope, Christopher Robert	M	-
ParlaMint-GB_2020-10-23-commons.u60	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Jenkinson, Mark Ian	M	-
ParlaMint-GB_2020-10-23-commons.u61	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	LAB	Labour	Opposition	Tami, Mark Richard	M	-
ParlaMint-GB_2020-10-23-commons.u62	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Jenkinson, Mark Ian	M	-
ParlaMint-GB_2020-10-23-commons.u63	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u64	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u65	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u66	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Loder, Christopher Lionel John	M	-
ParlaMint-GB_2020-10-23-commons.u67	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u68	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Young, Jacob	M	-
ParlaMint-GB_2020-10-23-commons.u69	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u70	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stevenson, Jane Fiona Catherine	F	-
ParlaMint-GB_2020-10-23-commons.u71	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u72	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stewart, Robert Alexander	M	-
ParlaMint-GB_2020-10-23-commons.u73	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Amess, David Anthony Andrew	M	-
ParlaMint-GB_2020-10-23-commons.u74	Minutes of the House of Commons, Daily Session 2020-10-23	2020-10-23	2020-10-23	Lower house	58					COVID	Regular	MP	CON	Conservative	Opposition	Stewart, Robert Alexander	M	-
